Accelerometer X,Accelerometer Y,Accelerometer Z
-0.016,0.984,-0.113
-0.02,0.992,-0.113
-0.02,0.992,-0.113
-0.016,0.984,-0.113
-0.027,0.98,-0.113
-0.02,0.992,-0.113
-0.027,0.984,-0.117
-0.031,0.988,-0.117
-0.043,0.992,-0.117
-0.027,0.98,-0.113
-0.023,0.992,-0.113
-0.027,0.977,-0.117
-0.035,0.996,-0.109
-0.047,0.996,-0.113
-0.047,0.992,-0.105
-0.035,0.992,-0.109
-0.023,0.984,-0.113
-0.023,0.992,-0.117
-0.008,0.984,-0.113
-0.012,0.984,-0.098
-0.023,0.992,-0.086
-0.043,0.992,-0.09
-0.027,0.992,-0.07
-0.016,1.004,-0.094
-0.031,0.988,-0.086
-0.047,0.996,-0.086
-0.043,0.996,-0.078
-0.027,1.0,-0.078
-0.027,0.984,-0.078
-0.047,0.996,-0.09
-0.031,0.988,-0.086
-0.012,0.988,-0.082
0.004,0.98,-0.063
-0.02,0.98,-0.07
-0.047,1.023,-0.027
-0.055,1.027,-0.039
-0.066,1.0,-0.051
-0.039,0.992,-0.051
-0.02,0.988,-0.031
-0.012,0.984,-0.031
-0.027,0.961,-0.047
-0.039,0.984,-0.055
-0.047,0.977,-0.055
-0.031,0.969,-0.082
-0.023,1.047,-0.055
-0.035,1.016,-0.031
-0.012,1.02,-0.059
-0.047,0.98,-0.07
-0.027,1.012,-0.055
0.02,1.0,-0.055
-0.008,0.977,-0.078
-0.043,0.988,-0.059
-0.031,1.008,-0.059
-0.02,0.996,-0.055
-0.031,0.988,-0.074
-0.043,0.992,-0.063
-0.043,1.004,-0.066
-0.031,1.004,-0.059
-0.035,0.984,-0.066
-0.027,1.016,-0.07
-0.012,0.992,-0.078
-0.039,0.996,-0.09
-0.02,0.992,-0.078
0.016,0.992,-0.066
0.012,0.973,-0.074
-0.012,0.984,-0.07
-0.008,1.004,-0.074
-0.012,0.996,-0.082
-0.027,0.992,-0.086
-0.016,0.988,-0.082
-0.012,0.992,-0.078
-0.023,0.98,-0.086
-0.027,0.988,-0.086
-0.012,0.996,-0.082
-0.023,0.984,-0.094
-0.031,0.984,-0.09
-0.039,1.004,-0.094
-0.027,1.0,-0.09
0.004,0.996,-0.086
0.0,0.973,-0.086
-0.023,0.984,-0.086
-0.031,0.984,-0.082
-0.016,0.992,-0.078
-0.031,0.996,-0.086
-0.035,0.996,-0.082
-0.023,1.0,-0.086
-0.016,0.992,-0.082
-0.016,1.004,-0.082
-0.02,0.996,-0.074
-0.02,0.984,-0.082
-0.016,0.992,-0.086
-0.039,0.98,-0.09
-0.039,0.996,-0.082
-0.027,0.988,-0.078
-0.039,0.992,-0.082
-0.035,0.992,-0.09
-0.035,0.992,-0.078
-0.031,0.992,-0.082
-0.027,0.984,-0.086
-0.031,0.996,-0.078
-0.039,0.992,-0.082
-0.035,0.992,-0.082
-0.035,1.0,-0.082
-0.027,0.996,-0.09
-0.023,0.988,-0.078
-0.035,1.0,-0.082
-0.016,0.996,-0.078
-0.012,0.988,-0.082
-0.02,0.977,-0.086
-0.008,1.004,-0.094
-0.012,0.977,-0.082
-0.004,1.004,-0.082
-0.008,0.98,-0.082
-0.02,0.988,-0.094
-0.02,0.984,-0.098
0.004,0.996,-0.109
0.016,0.973,-0.113
0.008,0.992,-0.113
-0.02,0.98,-0.102
-0.031,1.0,-0.102
-0.031,0.988,-0.094
-0.035,0.996,-0.078
-0.039,0.988,-0.07
-0.035,0.992,-0.066
-0.02,0.984,-0.07
-0.023,0.988,-0.059
-0.02,1.0,-0.07
-0.012,1.012,-0.082
-0.027,0.996,-0.105
-0.023,0.992,-0.105
-0.008,0.988,-0.086
-0.004,0.988,-0.086
-0.016,0.992,-0.082
