------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 14:32:00
Start Date 2025-10-09
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:43:59
Download Date 2025-10-09
Current Memory Address: 0
Current Battery Voltage: 0     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.016,0.992,-0.055
0.02,1,-0.055
0.031,0.992,-0.059
0.039,0.98,-0.051
0.047,0.992,-0.027
0.047,0.996,-0.023
0.043,0.992,-0.031
0.043,0.992,-0.031
0.023,0.996,-0.039
0.008,0.992,-0.051
0.016,0.992,-0.055
0.027,0.988,-0.051
0.023,1.008,-0.051
0.023,1,-0.055
0.031,0.996,-0.055
0.035,0.988,-0.051
0.031,0.984,-0.051
0.047,0.988,-0.055
0.039,0.996,-0.047
0.02,0.996,-0.051
0.008,0.98,-0.055
0.016,0.988,-0.051
0.023,0.992,-0.051
0.023,0.996,-0.047
0.027,1.004,-0.039
0.016,0.988,-0.043
0.027,0.988,-0.051
0.027,1,-0.051
0.031,0.988,-0.039
0.023,0.992,-0.043
0.035,0.996,-0.047
0.027,0.992,-0.051
0.027,0.992,-0.051
0.02,0.992,-0.051
0.023,0.992,-0.055
0.027,0.984,-0.047
0.027,0.992,-0.051
0.035,1,-0.047
0.027,0.996,-0.051
0.031,0.984,-0.051
0.031,0.996,-0.055
0.027,0.996,-0.055
0.035,1,-0.051
0.023,0.996,-0.047
0.023,0.992,-0.051
0.031,0.988,-0.055
0.023,0.992,-0.051
0.023,0.992,-0.066
0.023,0.992,-0.063
0.02,0.992,-0.059
0.027,0.984,-0.055
0.027,0.984,-0.051
0.027,0.988,-0.051
0.031,1.004,-0.043
0.027,0.992,-0.047
0.02,0.992,-0.047
0.012,0.992,-0.051
0.023,0.996,-0.047
0.023,0.992,-0.043
0.016,0.996,-0.043
0.027,0.996,-0.043
0.02,0.996,-0.039
0.008,0.988,-0.047
0.016,0.992,-0.047
0.023,1.004,-0.035
0.035,0.988,-0.035
0.051,0.988,-0.031
0.059,0.98,-0.016
0.063,0.992,-0.02
0.055,0.996,-0.02
0.023,1.012,-0.012
0.027,0.996,-0.031
0.027,0.977,-0.063
0.031,0.988,-0.043
0.047,0.984,-0.027
0.039,1.008,-0.016
0.02,1.004,-0.023
0.016,0.988,-0.051
0.023,0.973,-0.051
0.023,0.984,-0.059
0.031,1,-0.051
0.035,1,-0.043
0.023,0.992,-0.051
0.031,0.992,-0.047
0.027,0.988,-0.047
0.02,0.996,-0.043
0.016,0.996,-0.035
0.016,1,-0.047
0.016,0.996,-0.051
-0.004,0.996,-0.047
0.012,1,-0.051
0.02,0.996,-0.043
0.016,0.988,-0.039
0.023,0.988,-0.031
0.027,0.996,-0.027
0.02,0.996,-0.047
0.008,0.996,-0.047
0.016,0.992,-0.051
0.016,0.992,-0.047
0.012,1,-0.039
0.012,0.977,-0.035
0.043,1.008,0.008
0.02,0.984,-0.039
0.016,1,-0.016
0.027,1,-0.012
0.066,1.004,0.027
0.043,0.984,-0.012
0.016,1.07,0
0.059,0.969,-0.043
0.055,0.988,-0.039
0.082,0.961,-0.012
0.094,0.969,-0.047
0.063,1.008,0.086
0.09,1.043,0.043
0.094,0.941,-0.043
0.105,0.996,0.039
0.09,0.988,0.063
0.047,1,0.027
-0.031,0.984,-0.086
0,1.023,-0.039
-0.004,0.992,-0.133
0.012,0.996,-0.098
0.023,0.992,-0.105
0,0.973,-0.121
0.004,0.977,-0.117
0.02,0.992,-0.09
0.02,0.977,-0.094
0.047,0.965,-0.086
0.031,1.035,-0.059
0.016,1,-0.094
-0.035,0.945,-0.16
0.004,0.98,-0.094
-0.012,1.035,-0.094
-0.012,0.969,-0.129
0,0.984,-0.105
0.02,1.008,-0.082
0.043,0.984,-0.063
0.02,0.977,-0.105
0.004,1.016,-0.066
0.012,0.992,-0.09
0.023,0.984,-0.07
0.027,0.992,-0.086
0.012,0.977,-0.113
0.023,0.953,-0.125
0.023,1.008,-0.094
0.023,0.977,-0.113
0.027,0.98,-0.109
0.023,1,-0.105
0.008,0.996,-0.113
0.023,0.988,-0.102
-0.008,0.98,-0.09
0.008,0.988,-0.129
0.016,1,-0.109
-0.016,0.996,-0.141
-0.063,0.984,-0.168
0.008,0.969,-0.098
0.047,0.961,-0.105
0.039,0.977,-0.094
