Accelerometer X,Accelerometer Y,Accelerometer Z
0.035,0.965,-0.152
-0.004,0.973,-0.164
0,0.973,-0.152
0.02,1.008,-0.129
-0.023,0.98,-0.145
-0.016,0.965,-0.137
-0.02,1.004,-0.137
0.027,1.008,-0.133
0.055,0.949,-0.148
0.004,0.98,-0.152
-0.027,0.996,-0.141
-0.004,0.988,-0.137
-0.035,0.977,-0.152
-0.035,0.969,-0.145
0.008,0.977,-0.145
-0.02,0.996,-0.152
-0.012,0.992,-0.137
-0.012,0.992,-0.125
-0.047,0.992,-0.137
-0.023,0.984,-0.137
-0.012,0.969,-0.145
-0.043,0.969,-0.145
-0.031,1,-0.133
0.004,0.984,-0.133
0.012,0.969,-0.148
0.016,0.957,-0.164
-0.066,1,-0.141
-0.07,0.977,-0.137
-0.055,0.98,-0.148
-0.023,0.973,-0.16
0.059,1.012,-0.141
0.109,1.031,-0.125
0.008,1.02,-0.164
-0.109,0.961,-0.18
-0.078,0.938,-0.156
0.039,0.957,-0.148
0.043,0.941,-0.16
0.027,0.957,-0.156
0.094,1.004,-0.141
0.043,1.043,-0.152
-0.008,0.98,-0.18
0.027,0.965,-0.176
-0.008,1.113,-0.168
0.031,0.941,-0.117
-0.102,1.051,-0.195
-0.035,0.879,-0.164
-0.047,0.941,-0.105
0.328,0.844,-0.063
0.371,0.93,-0.063
0.121,0.926,-0.227
0.035,1.051,-0.027
-0.508,0.918,-0.148
0.164,0.859,-0.129
-0.742,1.137,-0.047
-0.469,1.098,-0.094
-0.363,1.113,0.047
0,1.082,0.105
-0.328,0.875,-0.461
-0.891,1.074,0.008
0.289,1.023,-0.027
-0.07,0.945,-0.301
0.285,0.75,-0.289
0.184,0.871,-0.309
0.07,0.672,-0.305
-0.063,0.977,-0.27
-0.34,1.223,-0.121
-0.52,0.965,-0.227
-0.418,0.801,-0.305
-0.176,0.996,-0.078
-0.289,1.016,-0.137
-0.262,1.188,-0.055
0.012,0.914,-0.059
0.129,0.973,-0.004
-0.215,1.063,-0.004
-0.535,1.027,-0.066
-0.266,0.844,-0.148
-0.379,0.938,-0.133
-0.105,1.074,-0.043
-0.18,0.984,-0.078
-0.656,0.879,-0.184
0,1.008,-0.098
-0.25,0.965,-0.145
-0.34,0.965,-0.141
-0.09,1.078,-0.059
-0.031,0.957,-0.098
-0.137,0.832,-0.254
-0.293,0.93,-0.258
-1.641,0.957,-0.457
-0.219,0.934,0.117
0.074,1.223,0.332
0.5,0.965,0.348
0.391,0.383,-0.148
-0.148,0.875,0.008
-0.281,1.125,0.074
0,1.066,0.078
0.246,0.844,0.109
0.031,1.043,0.25
-0.086,0.785,0
-0.008,0.664,0.414
0.023,1.246,0.48
-0.152,0.984,0.023
-0.332,0.945,-0.027
-0.5,1.25,0.129
-0.355,0.973,0.016
-0.238,0.871,-0.051
-0.195,0.895,-0.059
-0.121,0.895,-0.063
-0.203,0.992,-0.039
-0.141,1.043,0.082
-0.215,0.871,-0.039
-0.285,0.98,-0.027
-0.313,0.984,-0.027
-0.258,1.078,0.004
-0.121,1.043,0.023
-0.102,0.965,0.023
-0.086,0.914,0.004
-0.145,0.891,-0.012
-0.199,0.891,-0.004
-0.32,0.977,0.063
-0.363,1.145,0.078
-0.203,1.051,0.027
-0.145,0.918,0.02
-0.211,0.965,0.07
-0.227,1.027,0.082
-0.246,1,0.055
-0.215,1.008,0.074
-0.105,0.918,0.027
-0.078,0.953,0.039
-0.199,0.934,0.012
-0.16,0.957,0.055
-0.219,0.98,0.031
-0.27,0.953,0.031
-0.125,0.988,0.074
-0.246,1.066,0.105
-0.313,1.082,0.07
-0.199,0.957,0.066
-0.246,0.961,0.078
-0.234,0.938,0.141
-0.199,0.883,0.117
-0.27,0.91,0.078
-0.273,0.957,0.117
-0.152,1.008,0.133
-0.152,1.043,0.133
-0.156,0.957,0.086
-0.102,0.949,0.129
-0.125,1.023,0.125
-0.117,1.02,0.137
-0.109,0.938,0.102
-0.246,1.02,0.113
-0.207,1.043,0.117
-0.195,1.039,0.098
-0.063,0.977,0.055
-0.043,0.879,0.055
-0.16,1.07,0.313
-0.156,0.871,-0.086
-0.234,1.031,0.082
-0.223,1.012,0.082
-0.102,1.008,0.027
0.008,1.012,0.02
0,0.996,0.035
-0.027,0.996,0.047
0.012,1.004,0.035
0.078,0.973,0.004
0.113,0.996,0.012
0.125,1.016,0.012
0.105,1.02,0.016
0.07,1.008,0.016
0.008,0.977,0.012
-0.07,0.953,-0.004
-0.113,0.977,-0.012
-0.066,1.02,-0.027
-0.082,1.031,-0.02
-0.129,1,-0.035
-0.156,1.031,-0.016
-0.184,1.102,-0.016
-0.199,1.102,-0.039
-0.188,1.023,-0.047
-0.148,0.887,-0.086
-0.105,0.832,-0.117
-0.121,0.875,-0.156
-0.152,0.914,-0.191
-0.168,1.004,-0.168
-0.137,1.07,-0.156
-0.047,1.066,-0.152
0.008,1.012,-0.168
-0.039,0.953,-0.188
-0.117,0.91,-0.176
-0.141,0.906,-0.172
-0.109,0.961,-0.18
-0.074,0.984,-0.18
-0.055,0.949,-0.188
-0.066,0.945,-0.203
-0.055,0.922,-0.219
-0.051,0.953,-0.234
-0.027,1,-0.211
-0.055,0.988,-0.18
-0.168,1.004,-0.141
-0.23,1,-0.113
-0.227,0.98,-0.113
-0.234,0.969,-0.121
-0.227,0.965,-0.094
-0.199,0.98,-0.07
-0.199,0.977,-0.055
-0.211,0.98,-0.055
-0.184,1.012,-0.039
-0.16,1,-0.047
-0.195,0.973,-0.074
-0.211,0.965,-0.07
-0.219,0.973,-0.051
-0.23,0.977,-0.059
-0.219,0.992,-0.055
-0.199,0.984,-0.055
-0.18,0.98,-0.047
-0.223,0.965,-0.074
-0.207,0.965,-0.074
-0.211,0.988,-0.059
-0.242,0.988,-0.055
-0.125,0.961,-0.094
-0.168,0.98,-0.102
-0.203,0.992,-0.082
-0.191,0.977,-0.082
-0.172,0.988,-0.082
-0.152,0.965,-0.109
-0.156,0.996,-0.098
-0.168,0.98,-0.125
-0.18,0.98,-0.129
-0.129,0.996,-0.133
-0.133,1,-0.133
-0.082,0.973,-0.145
-0.035,0.953,-0.156
-0.168,1.031,-0.145
-0.18,0.895,-0.176
-0.195,0.973,-0.137
-0.219,0.961,-0.152
-0.16,0.984,-0.152
-0.152,0.957,-0.152
-0.152,0.977,-0.148
-0.117,0.898,-0.211
-0.156,0.988,-0.156
-0.086,0.883,-0.227
-0.078,1.016,-0.184
-0.195,0.93,-0.191
-0.18,1.027,-0.184
-0.09,0.961,-0.176
-0.023,0.906,-0.219
-0.141,0.879,-0.188
-0.063,1,-0.191
-0.109,0.988,-0.188
-0.113,0.906,-0.238
-0.164,0.98,-0.16
-0.047,0.996,-0.121
-0.137,1.066,-0.074
-0.137,1.012,-0.109
-0.094,0.977,-0.137
-0.113,0.977,-0.164
-0.152,0.957,-0.172
-0.164,0.969,-0.164
-0.07,0.957,-0.117
-0.105,0.984,-0.227
-0.16,0.941,-0.223
-0.121,0.965,-0.203
-0.133,0.98,-0.184
-0.184,0.945,-0.199
-0.141,0.941,-0.199
-0.137,0.945,-0.227
-0.113,1.035,-0.227
-0.141,0.945,-0.227
-0.18,0.938,-0.168
-0.176,0.891,-0.281
-0.281,0.926,-0.238
-0.012,0.988,-0.172
-0.141,1.066,-0.082
-0.102,0.973,-0.102
-0.266,0.824,-0.141
0.145,1.012,-0.059
0.324,0.988,-0.016
0.027,1.027,0.02
-0.289,0.945,0.109
0.039,1.199,0.242
0.113,0.961,-0.098
-0.074,0.887,-0.199
-0.246,0.988,-0.078
-0.191,1.027,-0.125
-0.207,0.953,-0.125
-0.125,0.965,-0.086
-0.113,1.004,-0.109
-0.043,0.996,-0.141
-0.121,0.988,-0.078
-0.113,0.926,-0.082
-0.168,1.012,-0.063
-0.215,0.992,-0.07
-0.211,0.996,-0.066
-0.176,0.98,-0.066
-0.148,0.965,-0.086
-0.117,0.977,-0.078
-0.043,0.992,-0.082
0.016,0.992,-0.113
0.059,0.988,-0.117
0.121,0.996,-0.117
0.137,1.031,-0.133
0.055,0.996,-0.109
-0.082,0.957,-0.086
-0.195,0.965,-0.078
-0.273,0.977,-0.059
-0.266,0.984,-0.031
-0.211,0.977,-0.07
-0.145,0.98,-0.082
-0.121,1.02,-0.043
-0.152,1.008,-0.043
-0.184,0.984,-0.031
-0.195,0.977,-0.051
-0.285,0.961,-0.066
-0.242,0.945,-0.063
-0.223,0.977,-0.047
-0.176,0.98,-0.074
-0.176,0.992,-0.066
-0.168,0.934,-0.078
-0.191,0.984,-0.07
-0.16,1.02,-0.078
-0.18,1.008,-0.086
-0.156,0.977,-0.105
-0.063,0.977,-0.152
-0.133,0.977,-0.105
-0.07,1.027,-0.105
-0.031,1.078,-0.137
-0.086,0.98,-0.152
-0.098,1.008,-0.137
-0.102,0.965,-0.145
-0.055,0.941,-0.164
-0.051,0.949,-0.133
-0.043,0.91,-0.18
-0.125,0.949,-0.156
-0.102,0.969,-0.129
-0.098,0.969,-0.129
-0.109,1.004,-0.082
0.023,1.012,-0.121
0.098,1.02,-0.137
0.086,0.969,-0.152
-0.043,0.961,-0.094
-0.004,0.957,-0.098
0.059,0.961,-0.129
-0.047,0.902,-0.066
0.063,0.898,-0.125
0.098,0.93,-0.082
0.027,1.008,-0.047
0.176,0.949,-0.098
0.254,0.984,-0.059
0.363,1.039,-0.074
0.367,1.074,0.004
0.273,1.176,0.094
0.055,1.117,0.047
-0.18,0.934,0.082
-0.211,0.977,0.219
-0.191,1.129,0.363
0.121,1.035,0.348
-0.016,0.906,0.156
-0.18,0.793,0.16
-0.152,0.855,0.191
-0.098,0.918,0.211
-0.121,0.961,0.219
-0.012,1.012,0.215
0.09,1.023,0.238
0.086,0.996,0.266
0.02,0.996,0.305
-0.031,1.004,0.297
-0.027,0.961,0.27
-0.012,0.961,0.285
0.055,0.984,0.305
0.027,1.004,0.25
-0.023,1.055,0.219
0.008,1.164,0.234
0.008,1.168,0.242
-0.02,1.07,0.184
-0.055,0.988,0.113
-0.023,0.949,0.063
0.031,0.93,0.07
0.078,0.93,0.051
0.066,0.898,0.035
0.063,0.914,0.004
0.023,0.91,-0.016
-0.008,0.949,-0.016
0.027,0.922,-0.043
-0.035,0.977,-0.113
-0.117,0.988,-0.316
-0.023,0.863,-0.293
0.086,0.93,-0.176
-0.082,1,-0.09
-0.223,0.926,-0.086
-0.215,0.918,-0.133
-0.102,1.063,-0.156
-0.004,1.125,-0.152
0.047,1.082,-0.121
0.121,1.078,-0.066
0.09,1.008,-0.051
-0.008,0.938,-0.078
-0.066,0.855,-0.098
-0.055,0.805,-0.105
-0.035,0.848,-0.094
-0.055,0.945,-0.051
-0.023,1.02,-0.051
-0.027,0.992,-0.066
-0.23,1.012,-0.023
-0.129,1.129,-0.004
-0.051,0.965,-0.258
0.012,0.984,-0.164
0.031,0.902,-0.156
0.035,0.902,-0.121
0.043,0.887,-0.117
0.094,0.891,-0.133
0.137,0.938,-0.082
0.129,1.051,-0.047
-0.195,1.355,-0.031
-0.277,1.402,0.121
-0.168,0.898,-0.051
-0.086,0.777,-0.035
-0.16,0.934,0.078
-0.262,1.148,0.195
-0.133,1.047,0.129
-0.043,0.863,0.031
-0.125,0.891,0.031
-0.191,0.984,0.082
-0.141,1.07,0.113
-0.059,1.043,0.086
-0.059,0.977,0.098
-0.074,1.008,0.137
