------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 11:48:00
Start Date 2025-10-10
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:19:19
Download Date 2025-10-10
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.039,0.781,-0.625
-0.02,0.773,-0.582
-0.027,0.816,-0.582
-0.023,0.84,-0.555
-0.023,0.844,-0.484
-0.039,0.895,-0.453
-0.031,0.898,-0.426
-0.027,0.93,-0.348
-0.02,0.941,-0.328
-0.012,0.945,-0.32
-0.031,0.965,-0.266
-0.008,0.949,-0.234
-0.016,0.926,-0.168
0.004,0.934,-0.184
-0.016,1.012,-0.18
0.008,0.965,-0.152
-0.008,0.988,-0.16
-0.004,0.98,-0.164
0,0.996,-0.16
-0.008,0.977,-0.172
0,0.98,-0.156
0.008,0.973,-0.156
0.004,0.977,-0.172
0.008,0.988,-0.168
0.023,0.984,-0.168
0.027,0.969,-0.172
0.012,0.984,-0.176
0.012,0.984,-0.168
0,0.988,-0.137
-0.008,0.984,-0.137
-0.023,0.988,-0.121
-0.023,0.984,-0.129
-0.02,0.996,-0.125
0.008,1,-0.117
0.008,0.988,-0.113
-0.008,0.988,-0.125
-0.008,0.992,-0.117
0,0.988,-0.121
-0.02,1.016,-0.125
0.031,0.957,-0.133
-0.004,0.992,-0.129
0.023,1,-0.109
-0.02,0.996,-0.145
-0.004,0.984,-0.148
0.027,0.988,-0.113
0.016,0.988,-0.109
-0.016,0.992,-0.137
-0.02,0.98,-0.133
0,0.988,-0.117
-0.016,0.969,-0.141
-0.008,0.98,-0.168
0.051,0.996,-0.145
0.063,0.988,-0.117
0.008,0.992,-0.125
-0.043,0.992,-0.133
-0.051,0.988,-0.121
-0.012,0.977,-0.113
0.008,0.977,-0.129
0.023,0.992,-0.121
0.02,0.992,-0.121
0.012,0.98,-0.129
-0.004,0.992,-0.125
-0.008,0.988,-0.121
-0.012,0.996,-0.121
-0.004,0.98,-0.121
-0.004,0.984,-0.117
-0.004,0.984,-0.125
0,0.988,-0.121
-0.008,0.988,-0.125
-0.008,0.992,-0.125
-0.023,0.992,-0.133
-0.02,0.992,-0.129
-0.012,0.977,-0.125
-0.008,0.988,-0.125
0,0.992,-0.133
-0.008,0.988,-0.125
-0.012,0.992,-0.125
-0.016,0.992,-0.129
-0.016,0.996,-0.125
-0.027,0.988,-0.125
-0.016,0.984,-0.121
-0.012,0.984,-0.125
-0.008,0.992,-0.121
-0.008,0.992,-0.133
-0.004,0.988,-0.125
-0.012,0.988,-0.133
-0.008,0.988,-0.133
-0.004,0.984,-0.125
-0.004,0.98,-0.125
-0.004,0.988,-0.141
-0.012,0.984,-0.137
-0.004,0.984,-0.133
-0.012,0.984,-0.133
-0.012,1,-0.137
-0.012,0.992,-0.137
-0.008,0.988,-0.141
-0.012,0.984,-0.137
-0.004,0.984,-0.137
0,0.992,-0.129
